kingdom,phylum,class,genus,species,bacteria,strain_id,bacgroup,order
Bacteria,Thermotogae,Thermotogae,Thermotoga,Thermotoga_neapolitana,Thermotoga_neapolitana_DSM_4359_uid59065,3882,Thermotogae,Thermotogales
Bacteria,Thermotogae,Thermotogae,Thermotoga,Thermotoga_petrophila,Thermotoga_petrophila_RKU_1_uid58655,3883,Thermotogae,Thermotogales
Bacteria,Thermotogae,Thermotogae,Thermotoga,Thermotoga_RQ2,Thermotoga_RQ2_uid58935,3884,Thermotogae,Thermotogales
Bacteria,Thermotogae,Thermotogae,Thermotoga,Thermotoga_thermarum,Thermotoga_thermarum_DSM_5069_uid68449,3885,Thermotogae,Thermotogales
Bacteria,Aquificae,Aquificae,Thermovibrio,Thermovibrio_ammonificans,Thermovibrio_ammonificans_HB_1_uid62095,1748,Aquificae,Aquificales
Bacteria,Synergistetes,Synergistia,Thermovirga,Thermovirga_lienii,Thermovirga_lienii_DSM_17291_uid77129,1749,Synergistetes,Synergistales
Bacteria,-,Deinococci,Thermus,Thermus_scotoductus,Thermus_scotoductus_SA_01_uid62273,1750,Deinococci,Thermales
Bacteria,-,Deinococci,Thermus,Thermus_thermophilus,Thermus_thermophilus_HB27_uid58033,3887,Deinococci,Thermales
Bacteria,-,Deinococci,Thermus,Thermus_thermophilus,Thermus_thermophilus_HB8_uid58223,1751,Deinococci,Thermales
Bacteria,Proteobacteria,Gammaproteobacteria,Thioalkalimicrobium,Thioalkalimicrobium_cyclicum,Thioalkalimicrobium_cyclicum_ALM1_uid67391,88,Gammaproteobacteria,Thiotrichales
Bacteria,Proteobacteria,Gammaproteobacteria,Thioalkalivibrio,Thioalkalivibrio_K90mix,Thioalkalivibrio_K90mix_uid46181,90,Gammaproteobacteria,Chromatiales
Bacteria,Proteobacteria,Gammaproteobacteria,Thioalkalivibrio,Thioalkalivibrio_sulfidophilus,Thioalkalivibrio_sulfidophilus_HL_EbGr7_uid59179,1978,Gammaproteobacteria,Chromatiales
Bacteria,Proteobacteria,Betaproteobacteria,Thiobacillus,Thiobacillus_denitrificans,Thiobacillus_denitrificans_ATCC_25259_uid58189,579,Betaproteobacteria,Hydrogenophilales
Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospira,Thiomicrospira_crunogena,Thiomicrospira_crunogena_XCL_2_uid58183,1399,Gammaproteobacteria,Thiotrichales
Bacteria,Proteobacteria,Betaproteobacteria,Thiomonas,Thiomonas_intermedia,Thiomonas_intermedia_K12_uid48825,1727,Betaproteobacteria,Burkholderiales
Bacteria,Proteobacteria,Gammaproteobacteria,Tolumonas,Tolumonas_auensis,Tolumonas_auensis_DSM_9187_uid59395,1731,Gammaproteobacteria,Aeromonadales
